"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.800326849138692,0.906527562316811
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.690895451138895,0.885389865265704
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.674918466925374,0.997322981278999
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.438679515877149,0.7496706197151
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.424878299211659,0.539870280550372
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.4101666617109,0.495663784223875
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.391022247434769,0.486754679792102
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.376604996787172,0.376604996787172
"test","Categorical EM-MMIL","I","NK cells","I",55,0.300905474043944,0.381113884650349
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.325589897920052,0.538860950486295
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.0078706211861081,0.0078706211861081
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.00768232396072668,0.00951779027699074
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.00761435379192101,0.00884993129319252
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.00744410185087714,0.0086829423722362
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.00696049659277909,0.00801313522755291
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.0065196481352473,0.0079629804301708
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00342153670445499,0.00782827281418599
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00329456863373685,0.00662119327123714
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.691480172164135,0.776724722654913
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.61552438202672,0.61552438202672
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.601533650714354,0.704213141446434
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.582872841696321,0.643094525319117
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.554800835987604,0.875843000865739
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.321659996370172,0.976195654349026
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.305809980227368,0.549842343394044
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.249531802868289,0.422103573385792
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.191990826900581,0.263905027707554
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.880203397725431,0.920298579039392
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.45983272199465,0.45983272199465
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.45118943016244,0.997127554174247
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.441247159093016,0.781905184361301
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.415373557302394,0.481971246949153
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.376079463412519,0.453026694498972
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.316648760369226,0.323394936152629
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.314004278769582,0.373115715922336
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.262863679659715,0.384258782103692
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.55108946159238,0.769379150197686
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.00777681124711602,0.0085044953294331
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.00749233120742947,0.00777253189249998
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.00731995491591407,0.00835778111563558
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.00724517159003526,0.00724517159003526
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.00670928888607398,0.00790186921960474
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.00639065636462605,0.00706379645964828
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.00636740229177663,0.0080092925987605
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.00256072729396399,0.00532623903853496
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.678218909983302,0.760202561854496
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.675858908423345,0.682885284891818
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.617211247701407,0.660985884721395
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.577306487781692,0.654067767264923
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.552385438615207,0.92239465843836
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.546249842543596,0.982884503770124
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.532922106415314,0.532922106415314
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.186046858747905,0.303029891456694
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.113405945909943,0.169388736678291
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.373132549409383,0.484672531673326
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.356098587502392,0.434142273656072
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.339667723525415,0.396106002886913
