"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0817106456692468,0.629716971931079,0.786391897736456,0.810763797507106,0.71356783919598
2,0.0435086348249114,0.507219439591689,0.593054765216302,0.707469010016999,0.718206416698879
3,0.0222576349330582,0.442185216260953,0.471743063440472,0.68755771744038,0.721298801700812
4,0.0123212289810533,0.407742978556867,0.411161738666441,0.6928805238254,0.72323154232702
5,0.00719240665211652,0.387941138631575,0.37394400756206,0.702696825882276,0.723424816389641
6,0.00482858999816992,0.375996059664832,0.354504096544029,0.713579103004705,0.723811364514882
7,0.00293858696538743,0.369807670339549,0.348594861584244,0.721917642489185,0.72323154232702
8,0.00234275725716666,0.364452658211721,0.342192149384458,0.728928632023512,0.723038268264399
9,0.00202126957332765,0.361000215489128,0.337058967249955,0.733986616215166,0.722651720139157
10,0.00183900933895095,0.358643251487388,0.333582162636267,0.737944263495267,0.722458446076537
11,0.00168897232243069,0.35658422394689,0.331736608092506,0.741828398955755,0.722458446076537
12,0.00146338822023993,0.355446797616321,0.331572914821677,0.744548362657392,0.722651720139157
13,0.00162347729457535,0.354841094971781,0.328321086390156,0.746269057781652,0.722844994201778
14,0.00117579621789517,0.353726809028917,0.32925039587721,0.748368348292449,0.722265172013916
15,0.00131074390087472,0.351946649914657,0.324008947453827,0.749184567227145,0.722844994201778
16,0.00140674579946516,0.351659184190985,0.325223064202347,0.751417793116922,0.723038268264399
17,0.00137414853304041,0.351590034912294,0.32255069247971,0.75150912918352,0.722265172013916
18,0.00113858728924989,0.351176151869263,0.324295184520859,0.752726796360413,0.722071897951295
19,0.00163729566553356,0.350146492903601,0.324022441683071,0.754370369935344,0.722265172013916
20,0.00107348250124963,0.35007856133332,0.324164792299283,0.754931719085117,0.722844994201778
21,0.00113206775377466,0.350313083887048,0.32402176390509,0.754017152651914,0.72323154232702
22,0.00108809467676465,0.349865228517607,0.322894670945025,0.754189275026878,0.723038268264399
23,0.00141616466269026,0.349678827789478,0.324112148212157,0.755420230795512,0.724391186702744
24,0.00133425142113274,0.349704779043514,0.322069225165883,0.75492199467211,0.723811364514882
25,0.00156511341017955,0.349454283694119,0.324607067190763,0.756850044286249,0.723038268264399
26,0.00121492770268666,0.349392623820386,0.321992020115131,0.755897961960054,0.722651720139157
27,0.00123185371853665,0.348058351000646,0.321749825187441,0.758620470997223,0.722651720139157
28,0.00146496976635583,0.348094481368732,0.322342660980852,0.758997464482785,0.724197912640124
29,0.0012531774067823,0.348271056974014,0.32185706817311,0.759236896194024,0.723038268264399
30,0.00112879113586768,0.348559304787197,0.323207866766697,0.758153771133228,0.723811364514882
