"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.942597813319789,0.998384111057651
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.720315988789912,0.865826716962838
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.682997554469202,0.999730839004696
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.664398512321574,0.939654629269078
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.588798584492847,0.917131678625948
"test","Categorical EM-MMIL","I","NK cells","I",55,0.564816963095198,0.881378843920216
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.535425066579046,0.985030538961157
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.530436249125855,0.89406359145525
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.0176976070735132,0.0176976070735132
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.353882845864874,0.741209495003461
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.124335549002187,0.257978535750217
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.0862669785791382,0.22732407136589
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.0769653857137527,0.131865481487057
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0475366122147726,0.160006837319018
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0171963888508632,0.0350753128093966
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00634806818541806,0.00634806818541806
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00274086237548093,0.00734719343555038
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.00142595579717107,0.00450516223095384
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.975954324741069,0.975954324741069
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.417986648053939,0.839628227546294
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.345228201871959,0.986531455626514
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.324934436928015,0.822243166561752
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.315576489733627,0.99200850043321
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.288064875463654,0.658803976281802
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.202718625496335,0.450757286439804
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.110692087556081,0.381788203861412
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.0546613243047302,0.147472339077118
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.983661021082009,0.983661021082009
