"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.824963074167877,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical EM-MMIL",12,0.878046654641495,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Categorical EM-MMIL",12,0.958893876162658,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical EM-MMIL",12,1.00034253277056,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.826523961626557,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.871381337344037,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Categorical MCEM-MMIL",12,0.954806249900391,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.99876660057279,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Naive inherited-label classifier",12,0.715851127662467,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Naive inherited-label classifier",12,0.748694599652803,0.833333333333333,0.666666666666667,0.916666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.86251912073517,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Naive inherited-label classifier",12,0.950798160735702,0.5,0.4,0.479166666666667,"q99_prob"
"train","Categorical EM-MMIL",32,0.695536256044068,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Categorical EM-MMIL",32,0.717213627809903,0.78125,0.611111111111111,0.845238095238095,"median_prob"
"train","Categorical EM-MMIL",32,0.833870022974082,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical EM-MMIL",32,0.909058877813457,0.625,0.472222222222222,0.643631436314363,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.696953861412972,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.723038437698771,0.78125,0.611111111111111,0.845238095238095,"median_prob"
"train","Categorical MCEM-MMIL",32,0.836927389811011,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.906705821796142,0.625,0.472222222222222,0.643631436314363,"q99_prob"
"train","Naive inherited-label classifier",32,0.676196488109963,0.75,0.583333333333333,0.807971014492754,"median_prob"
"train","Naive inherited-label classifier",32,0.70672118356768,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Naive inherited-label classifier",32,0.789374915879934,0.71875,0.555555555555556,0.769041769041769,"q90_prob"
"train","Naive inherited-label classifier",32,0.885830898740931,0.625,0.472222222222222,0.651260504201681,"q99_prob"
