"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.821235433207828,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical EM-MMIL",12,0.89365913365869,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Categorical EM-MMIL",12,0.97395022618185,0.583333333333333,0.466666666666667,0.619047619047619,"q99_prob"
"test","Categorical EM-MMIL",12,1.02361256099638,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.822203458824177,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.906941195454454,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Categorical MCEM-MMIL",12,0.973582415804824,0.583333333333333,0.466666666666667,0.619047619047619,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.01657957850983,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Naive inherited-label classifier",12,0.714968369837947,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Naive inherited-label classifier",12,0.74758768994996,0.833333333333333,0.666666666666667,0.916666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.86148149936486,0.666666666666667,0.533333333333333,0.732142857142857,"q90_prob"
"test","Naive inherited-label classifier",12,0.951491593096304,0.5,0.4,0.479166666666667,"q99_prob"
"train","Categorical EM-MMIL",32,0.696389353565302,0.75,0.583333333333333,0.807971014492754,"mean_prob"
"train","Categorical EM-MMIL",32,0.718408631567955,0.78125,0.611111111111111,0.845238095238095,"median_prob"
"train","Categorical EM-MMIL",32,0.823459110635879,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical EM-MMIL",32,0.92756366510897,0.59375,0.444444444444444,0.592436974789916,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.697734371747662,0.75,0.583333333333333,0.807971014492754,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.726045678455661,0.78125,0.611111111111111,0.845238095238095,"median_prob"
"train","Categorical MCEM-MMIL",32,0.829312858835823,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.927663080725671,0.59375,0.444444444444444,0.592436974789916,"q99_prob"
"train","Naive inherited-label classifier",32,0.675297582414546,0.75,0.583333333333333,0.807971014492754,"median_prob"
"train","Naive inherited-label classifier",32,0.70602207698647,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Naive inherited-label classifier",32,0.788879222033872,0.71875,0.555555555555556,0.769041769041769,"q90_prob"
"train","Naive inherited-label classifier",32,0.886041998267714,0.625,0.472222222222222,0.651260504201681,"q99_prob"
