"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,1.10193070298246,0.25,0.2,0.291666666666667,"median_prob"
"test","Categorical EM-MMIL",12,1.10257490087952,0.416666666666667,0.433333333333333,0.407407407407407,"q90_prob"
"test","Categorical EM-MMIL",12,1.10365459020894,0.416666666666667,0.433333333333333,0.414814814814815,"mean_prob"
"test","Categorical EM-MMIL",12,1.10461988294605,0.333333333333333,0.366666666666667,0.333333333333333,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.10098263522808,0.5,0.5,0.537373737373737,"median_prob"
"test","Categorical MCEM-MMIL",12,1.10317510904056,0.333333333333333,0.366666666666667,0.337878787878788,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.10479815975347,0.333333333333333,0.366666666666667,0.326719576719577,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.10557824712609,0.333333333333333,0.266666666666667,0.404040404040404,"q99_prob"
"test","Naive inherited-label classifier",12,1.09931576003125,0.5,0.5,0.490476190476191,"q99_prob"
"test","Naive inherited-label classifier",12,1.09973519622252,0.5,0.5,0.537037037037037,"median_prob"
"test","Naive inherited-label classifier",12,1.10266160575546,0.416666666666667,0.433333333333333,0.414814814814815,"mean_prob"
"test","Naive inherited-label classifier",12,1.11224338975285,0.333333333333333,0.266666666666667,0.383838383838384,"q90_prob"
"train","Categorical EM-MMIL",32,1.09246296273082,0.40625,0.411111111111111,0.392687559354226,"q90_prob"
"train","Categorical EM-MMIL",32,1.09521543303743,0.34375,0.311111111111111,0.314285714285714,"mean_prob"
"train","Categorical EM-MMIL",32,1.09651448684293,0.40625,0.405555555555556,0.390769230769231,"q99_prob"
"train","Categorical EM-MMIL",32,1.09779062075347,0.3125,0.283333333333333,0.290124777183601,"median_prob"
"train","Categorical MCEM-MMIL",32,1.0929591722023,0.46875,0.45,0.439463601532567,"q90_prob"
"train","Categorical MCEM-MMIL",32,1.0949936817621,0.375,0.338888888888889,0.344444444444444,"median_prob"
"train","Categorical MCEM-MMIL",32,1.09521610506353,0.375,0.333333333333333,0.336507936507937,"mean_prob"
"train","Categorical MCEM-MMIL",32,1.09931365017779,0.375,0.338888888888889,0.343333333333333,"q99_prob"
"train","Naive inherited-label classifier",32,1.08803302389405,0.46875,0.455555555555556,0.443722943722944,"q90_prob"
"train","Naive inherited-label classifier",32,1.09120110332557,0.34375,0.311111111111111,0.317608695652174,"median_prob"
"train","Naive inherited-label classifier",32,1.09147403931735,0.375,0.338888888888889,0.347027972027972,"mean_prob"
"train","Naive inherited-label classifier",32,1.09970092174238,0.4375,0.433333333333333,0.420249554367201,"q99_prob"
