"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.827866128328176,0.75,0.6,0.816666666666667,"median_prob"
"test","Categorical EM-MMIL",12,0.833612941491975,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical EM-MMIL",12,0.918263065127233,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical EM-MMIL",12,0.968810819381724,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.825223006964224,0.75,0.6,0.816666666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,0.831178397704994,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.917047783204955,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.969372173629463,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Naive inherited-label classifier",12,0.737907759491725,0.75,0.6,0.816666666666667,"median_prob"
"test","Naive inherited-label classifier",12,0.766703684944771,0.75,0.6,0.816666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.8570640740259,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.94920308690844,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"train","Categorical EM-MMIL",32,0.569046630449488,0.875,0.733333333333333,0.729988052568698,"median_prob"
"train","Categorical EM-MMIL",32,0.609430110390681,0.84375,0.705555555555555,0.707474747474747,"mean_prob"
"train","Categorical EM-MMIL",32,0.72327557324262,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Categorical EM-MMIL",32,0.87069561612044,0.8125,0.638888888888889,0.894927536231884,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.570560923178749,0.875,0.733333333333333,0.729988052568698,"median_prob"
"train","Categorical MCEM-MMIL",32,0.608012913726795,0.84375,0.705555555555555,0.707474747474747,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.722461515720704,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.868289641961166,0.8125,0.638888888888889,0.886904761904762,"q99_prob"
"train","Naive inherited-label classifier",32,0.514995216413247,0.90625,0.8,0.820749143329789,"median_prob"
"train","Naive inherited-label classifier",32,0.570090603359997,0.90625,0.8,0.820749143329789,"mean_prob"
"train","Naive inherited-label classifier",32,0.691907096945611,0.84375,0.705555555555555,0.707474747474747,"q90_prob"
"train","Naive inherited-label classifier",32,0.837346405837208,0.8125,0.677777777777778,0.691919191919192,"q99_prob"
