"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.954298762555879,0.999895074241992
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.704841214876668,0.965909474564748
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.681759551113234,0.990192971103674
"test","Categorical EM-MMIL","I","NK cells","I",55,0.675318618490287,0.99062234426085
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.62498622415693,0.943895922621928
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.574136610404543,0.877794286784183
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.546369398887855,0.963147253161827
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.50280098962023,0.965226485499394
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.473471789321668,0.473471789321668
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.236244453386319,0.744249380554135
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.213918774737214,0.672660628952547
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.154106786926484,0.392026501836447
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.144973150838989,0.429357121086209
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.132295752002564,0.295882334124673
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0700066046976448,0.169236405447068
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0475979667628498,0.126129027421499
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00611528490001332,0.0183096962369158
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00115298899141297,0.00115298899141297
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.525375221686919,0.525375221686919
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.308657450273156,0.995969556507133
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.293567637592893,0.690634690389042
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.283280235642555,0.782111479265939
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.254674776812068,0.729572385059708
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.247560818360482,0.745055408770395
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.220906988916586,0.917200743435241
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.0819959955004467,0.0895004290745485
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.0395859525441083,0.113433826164728
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.97275930459625,0.97275930459625
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.660928681698998,0.895656758947875
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.655152631941675,0.942624488212334
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.51532004571796,0.952991807057933
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.506090365219822,0.923927847145332
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.432671732429974,0.843763271944336
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.344024217140987,0.599161917900914
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.338047583420532,0.555945671119038
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.276442496562831,0.831009889696314
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.288309186618179,0.625807089927686
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.17824064983634,0.453305154749526
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.10272000317341,0.416379301985596
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.0733211066317057,0.191668879929113
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.0490754631955414,0.127601003107408
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0200276327882894,0.034057345272804
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.00898549194276042,0.00898549194276042
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.00436281884595111,0.00564631946066172
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.00213328154063147,0.00406716665440085
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.641924783791179,0.887293970437972
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.62083750026376,0.99999053237474
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.491776353239547,0.819529040647953
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.411358847650334,0.96167912848436
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.389087617733686,0.999567847232451
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.367666596240834,0.755019461142429
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.33470849945505,0.568153076089216
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.295771904862784,0.680009931312294
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.0182552034609899,0.0182552034609899
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.389453426261326,0.750173565803397
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.287854794342022,0.722271841903833
"test","Categorical EM-MMIL","IV","NK cells","I",42,0.283665732836652,0.793271386801795
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.190521966659508,0.587626483685006
