"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.411841941929135,0.411841941929135
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.357556121576825,0.406751096608191
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.337156384391126,0.40407697840476
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.337090067425303,0.405425998948028
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.335782121442609,0.391909741049996
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.334343952369852,0.388847955728829
"test","Categorical EM-MMIL","I","NK cells","I",55,0.332467828539557,0.395802485981402
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.322703728650691,0.407479523976112
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.300153826659839,0.381813375020932
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.358727393973948,0.443148342997292
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.336606038392396,0.412424139571054
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.335890229508502,0.393063077825384
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.332281436526229,0.410446506552011
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.32765973915812,0.384409755331195
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.324577241354242,0.379252908564348
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.323249225323383,0.388220483838422
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.323227919151785,0.396408629496418
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.267370654661036,0.267370654661036
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.344282946137061,0.450299184994537
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.341118779366213,0.425736556795568
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.340690232956912,0.451052775523181
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.339682013422912,0.419813548757013
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.339640637203149,0.408959519748968
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.330562179082645,0.407609667455634
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.329765818121645,0.405209731097109
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.320787403409829,0.320787403409829
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.314784139265054,0.349170285549908
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.394695986851511,0.418197130515307
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.359636123961855,0.359636123961855
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.343754756102483,0.439737903885013
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.336610086060417,0.397880268373623
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.333414308977979,0.39759782973168
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.332745703942915,0.405422112925673
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.318613202618479,0.366366906552821
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.318056245812788,0.342242110104308
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.310878784545939,0.383757827897971
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.367864254449104,0.382083653377807
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.343953324255687,0.414864324469344
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.336664500980191,0.419872264276836
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.329596797960676,0.443387712054646
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.32876733112552,0.379644606902144
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.323473249486086,0.352741470944611
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.319261228544013,0.345480839410202
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.258247704151859,0.302802108085077
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.209719028956105,0.209719028956105
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.430873511302202,0.487706744091136
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.430644847082039,0.430644847082039
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.343112441535935,0.420512905564138
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.337433473125834,0.384841859777085
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.334622582814063,0.404163879032914
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.330589795076894,0.396049169658764
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.32664844593684,0.415663219282885
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.314079499738108,0.324045965100925
