"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0686465235791063,0.681036642415903,0.892605385143222,0.594317742558949
2,0.0362771356055774,0.5924998043122,0.825596378212222,0.593737920371086
3,0.0199213577298551,0.541929748325981,0.816315045634444,0.593931194433707
4,0.0117239513831711,0.51174590006816,0.824468223661268,0.593931194433707
5,0.00731060268443383,0.492563748680353,0.836360156559609,0.593737920371086
6,0.00481712689970626,0.479664337864563,0.8480234047921,0.593931194433707
7,0.00333830465734394,0.47055500061978,0.858502586702177,0.593544646308465
8,0.00240858704247103,0.463858286777264,0.867690492011446,0.593931194433707
9,0.00179728811792406,0.458778022282976,0.875695983155993,0.594124468496328
10,0.00137763866517763,0.454836533846387,0.882644275197333,0.594124468496328
11,0.00107830369055516,0.451733922144513,0.888635443410729,0.594317742558949
12,0.000858177679181524,0.449271158123554,0.893752213936869,0.594124468496328
13,0.000691055329741447,0.447308269805146,0.898073148423188,0.593931194433707
14,0.000561736919319506,0.445741579820697,0.901679257086225,0.594511016621569
15,0.000459607439597376,0.444490009275041,0.904657447898273,0.59470429068419
16,0.000377932317252418,0.443491479561776,0.907090128727815,0.594897564746811
17,0.00031215567568243,0.442694724569153,0.909061554363009,0.594897564746811
18,0.000258812753082347,0.442058315907154,0.910650453535626,0.594897564746811
19,0.000215334382964848,0.441548934865559,0.911927288748088,0.595284112872053
20,0.000179719305596132,0.441139991451044,0.912952664812717,0.595284112872053
21,0.000150509891308048,0.440810434158349,0.913777050930099,0.595284112872053
22,0.00012644896605861,0.440543702891146,0.914441481969561,0.595284112872053
23,0.000106547756233937,0.440326824112448,0.914978781343538,0.595284112872053
24,9.00274403204709e-05,0.440149651602823,0.915414939234263,0.595477386934673
