"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.648317567569332,0.974674146548221
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.634479492508964,0.855848616980409
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.589080289630369,0.827767982123541
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.563589137607895,0.722890968125909
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.542685565661822,0.542685565661822
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.521843649431212,0.805988056539254
"test","Categorical EM-MMIL","I","NK cells","I",55,0.520769145430405,0.801848604638353
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.391683447586459,0.592988692290592
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.389162483243735,0.854090659231614
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.28656932186491,0.470833303170303
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.1230074148484,0.292579348238858
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.0804385152999925,0.0957202665866433
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0547782932731838,0.0928370902386134
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.0344163142295074,0.0344163142295074
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.032172250814161,0.0481076936183507
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0305712196848259,0.0739350443252781
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.018057881265961,0.0363214750375868
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.0115345453832811,0.0161733658411232
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.599302971372984,0.952322963807042
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.527878037113548,0.738077530812921
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.424452561296412,0.661892867689108
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.422898120108671,0.422898120108671
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.37874745955547,0.556452673669869
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.355148935720389,0.736471878238063
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.33494928780621,0.64424725873781
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.333624551164707,0.869784228172746
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.149841540527195,0.312183382770527
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.526815009389311,0.805427092079024
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.525184713138665,0.799005973471277
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.522377172814387,0.618128865901905
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.518555370979174,0.978830641515383
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.478275285533812,0.798817721054165
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.465095344703777,0.64309558830522
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.381170966157297,0.381170966157297
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.374299984874836,0.410442597723679
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.299317149779447,0.750454316626723
"test","Categorical EM-MMIL","II_III","Fibroblasts","II_III",3,0.48375361360381,0.600175696421946
"test","Categorical EM-MMIL","II_III","Endothelial cells","II_III",1,0.207223994684702,0.207223994684702
"test","Categorical EM-MMIL","II_III","T lymphocytes","II_III",108,0.0584169620427522,0.160110793282109
"test","Categorical EM-MMIL","II_III","B lymphocytes","II_III",35,0.041275347494613,0.101804960175378
"test","Categorical EM-MMIL","II_III","Undetermined","II_III",2,0.0391814257177224,0.0444628378079897
"test","Categorical EM-MMIL","II_III","NK cells","II_III",20,0.026374628406856,0.0347111195736433
"test","Categorical EM-MMIL","II_III","Myeloid cells","II_III",54,0.0156943553587295,0.0300185996500845
"test","Categorical EM-MMIL","II_III","MAST cells","II_III",6,0.0135940889054767,0.0216974392840102
"test","Categorical EM-MMIL","II_III","Epithelial cells","II_III",41,0.00818784647131973,0.0134207489437503
"test","Categorical EM-MMIL","II_III","Epithelial cells","IV",41,0.692495003749233,0.994676895631654
"test","Categorical EM-MMIL","II_III","NK cells","IV",20,0.508530026889367,0.718806722665026
"test","Categorical EM-MMIL","II_III","Myeloid cells","IV",54,0.465750273662097,0.986504527579205
"test","Categorical EM-MMIL","II_III","T lymphocytes","IV",108,0.463307752423436,0.844036031014485
"test","Categorical EM-MMIL","II_III","MAST cells","IV",6,0.459590901705212,0.904000048316224
"test","Categorical EM-MMIL","II_III","Undetermined","IV",2,0.438441401467891,0.528911682465142
"test","Categorical EM-MMIL","II_III","B lymphocytes","IV",35,0.433539939366722,0.73158102437797
"test","Categorical EM-MMIL","II_III","Endothelial cells","IV",1,0.411605039158001,0.411605039158001
"test","Categorical EM-MMIL","II_III","Fibroblasts","IV",3,0.141946401521353,0.268465312873372
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.436050889677219,0.703583730996148
"test","Categorical EM-MMIL","IV","NK cells","I",42,0.244863114726025,0.505324069141895
"test","Categorical EM-MMIL","IV","Fibroblasts","I",5,0.230336709984717,0.34760911212013
"test","Categorical EM-MMIL","IV","T lymphocytes","I",211,0.227850817476225,0.611372062941305
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.11742187895241,0.201823391686215
"test","Categorical EM-MMIL","IV","Myeloid cells","I",146,0.0838746073160929,0.208887462968523
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.0661070629036146,0.0903122824475292
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.0530681482184151,0.101561884824047
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.129062381739449,0.222935291821488
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.0575239979544482,0.0941293041011072
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.0288760465189357,0.0649079786847217
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.0208717319521695,0.0352462174724636
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.0186321064627036,0.0276706085015279
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,0.0155765749620201,0.0199948000837053
