"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0874764252743492,0.615823431044697,0.792495609868316,0.710668728256668
2,0.0454601935320951,0.483745767508578,0.686625341299781,0.716273676072671
3,0.0249735693076642,0.407900978016986,0.671141650625034,0.722071897951295
4,0.0151344794319113,0.362156833812658,0.687108482748663,0.724197912640124
5,0.00969512508481989,0.333348448465665,0.711702221564316,0.725164282953228
6,0.00638219733783209,0.314721642824242,0.735634490627774,0.726323927328952
7,0.00431594495285847,0.302385895791578,0.755584965925283,0.727483571704677
8,0.00300543065290722,0.294013747139999,0.771230606044526,0.726130653266332
9,0.00215577138093859,0.2881850896698,0.783402020451554,0.726130653266332
10,0.00159192564095228,0.284046213454273,0.792913602157364,0.726323927328952
11,0.00117218567577127,0.281117760390815,0.800036740420469,0.726130653266332
12,0.000883366824142127,0.279035038068314,0.805231348726959,0.726323927328952
13,0.000682446534381254,0.277496573911262,0.809161672343142,0.726130653266332
14,0.000538237791170691,0.276337265943666,0.812169984835448,0.726323927328952
15,0.000434783480854331,0.275433446295607,0.814537853040196,0.726323927328952
16,0.000351364736712696,0.274729765993498,0.816403617350813,0.726517201391573
17,0.000288232427825311,0.274174221032068,0.817882978077753,0.726323927328952
18,0.000239227613743106,0.273728428356673,0.819071392762946,0.726323927328952
19,0.000200821441588885,0.273364159207733,0.820044012260344,0.726517201391573
20,0.000170611263914995,0.273061476137047,0.820854371854297,0.726903749516815
21,0.000146214634602782,0.272806532651365,0.821541901418223,0.726903749516815
22,0.000126485218527839,0.272589217313162,0.8221361018862,0.727097023579436
23,0.000110528532630851,0.272401795629246,0.822658419111985,0.727097023579436
24,9.7420237478638e-05,0.272238790907146,0.823123545890152,0.727097023579436
