"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.856924521007115,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical EM-MMIL",12,0.951825521780525,0.833333333333333,0.666666666666667,0.916666666666667,"median_prob"
"test","Categorical EM-MMIL",12,0.991048457260687,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical EM-MMIL",12,1.02040548337774,0.5,0.4,0.479166666666667,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.853115811605856,0.833333333333333,0.666666666666667,0.909090909090909,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.949233684753641,0.833333333333333,0.666666666666667,0.916666666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,0.986022601209554,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.016370035773,0.5,0.4,0.479166666666667,"q99_prob"
"test","Naive inherited-label classifier",12,0.755902820659435,0.833333333333333,0.666666666666667,0.916666666666667,"median_prob"
"test","Naive inherited-label classifier",12,0.780549100147809,0.75,0.6,0.816666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.869969569503217,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.967922424131406,0.583333333333333,0.466666666666667,0.619047619047619,"q99_prob"
"train","Categorical EM-MMIL",32,0.690474748833784,0.75,0.583333333333333,0.803571428571429,"mean_prob"
"train","Categorical EM-MMIL",32,0.70379029174781,0.75,0.583333333333333,0.803571428571429,"median_prob"
"train","Categorical EM-MMIL",32,0.815508498521342,0.75,0.583333333333333,0.807971014492754,"q90_prob"
"train","Categorical EM-MMIL",32,0.911914724504108,0.6875,0.527777777777778,0.743421052631579,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.690010837087827,0.75,0.583333333333333,0.803571428571429,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.703230388959991,0.75,0.583333333333333,0.803571428571429,"median_prob"
"train","Categorical MCEM-MMIL",32,0.816070894872981,0.75,0.583333333333333,0.807971014492754,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.912041280181511,0.6875,0.527777777777778,0.743421052631579,"q99_prob"
"train","Naive inherited-label classifier",32,0.688503382609091,0.75,0.588888888888889,0.811764705882353,"median_prob"
"train","Naive inherited-label classifier",32,0.708918418527419,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Naive inherited-label classifier",32,0.780262390202539,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Naive inherited-label classifier",32,0.883992075592278,0.71875,0.555555555555556,0.784615384615385,"q99_prob"
