"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.344368291504321,0.43141537103767
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.339603301266243,0.425796173978429
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.332424954161565,0.413805342239977
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.328456876964411,0.42032269193461
"test","Categorical EM-MMIL","I","NK cells","I",55,0.324367553702605,0.397603844602813
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.320482145091773,0.335501073155753
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.316071709266333,0.371444434674868
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.313093172952513,0.313093172952513
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.292028685512357,0.3603620942179
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.375312055165087,0.461069526261833
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.35537698491129,0.398014742396805
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.341032374863156,0.419968729299449
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.338462245982588,0.338462245982588
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.326852171456841,0.416735534692039
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.325259856427884,0.397475733647129
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.324548154720874,0.401364974284683
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.323326037366716,0.391245503830572
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.322514951320522,0.39721754567203
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.352306408930679,0.430982548296601
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.349028171715067,0.419898933643083
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.348444581064899,0.348444581064899
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.342895915870511,0.411167526922405
