"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,1.09399054992052,0.416666666666667,0.433333333333333,0.388167388167388,"q99_prob"
"test","Categorical EM-MMIL",12,1.09685048244167,0.333333333333333,0.366666666666667,0.45,"median_prob"
"test","Categorical EM-MMIL",12,1.09882572896689,0.5,0.5,0.481818181818182,"q90_prob"
"test","Categorical EM-MMIL",12,1.09933199315487,0.416666666666667,0.433333333333333,0.416666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,1.09747671833456,0.333333333333333,0.466666666666667,0.515151515151515,"median_prob"
"test","Categorical MCEM-MMIL",12,1.09985320310637,0.166666666666667,0.133333333333333,0.222222222222222,"q99_prob"
"test","Categorical MCEM-MMIL",12,1.09990994561902,0.5,0.5,0.5,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.10087031523452,0.333333333333333,0.366666666666667,0.366666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,1.0939044179868,0.5,0.6,0.484126984126984,"q99_prob"
"test","Naive inherited-label classifier",12,1.09569069854195,0.333333333333333,0.466666666666667,0.515151515151515,"median_prob"
"test","Naive inherited-label classifier",12,1.09646479565253,0.416666666666667,0.433333333333333,0.416666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,1.09713488707092,0.5,0.5,0.496632996632997,"q90_prob"
"train","Categorical EM-MMIL",32,1.09887055570289,0.40625,0.35,0.347619047619048,"q99_prob"
"train","Categorical EM-MMIL",32,1.09906305638524,0.40625,0.316666666666667,0.475455820476858,"mean_prob"
"train","Categorical EM-MMIL",32,1.09977415054162,0.21875,0.172222222222222,0.273148148148148,"median_prob"
"train","Categorical EM-MMIL",32,1.10230821956422,0.34375,0.361111111111111,0.334470019892015,"q90_prob"
"train","Categorical MCEM-MMIL",32,1.098484169289,0.28125,0.211111111111111,0.33695652173913,"q99_prob"
"train","Categorical MCEM-MMIL",32,1.09909561134967,0.40625,0.361111111111111,0.360414489724835,"mean_prob"
"train","Categorical MCEM-MMIL",32,1.09912552063847,0.28125,0.222222222222222,0.338571428571429,"median_prob"
"train","Categorical MCEM-MMIL",32,1.10304967913902,0.34375,0.361111111111111,0.334927536231884,"q90_prob"
"train","Naive inherited-label classifier",32,1.09584260097281,0.375,0.305555555555556,0.43368700265252,"median_prob"
"train","Naive inherited-label classifier",32,1.09778018250378,0.375,0.294444444444444,0.468652037617555,"mean_prob"
"train","Naive inherited-label classifier",32,1.09984277661034,0.40625,0.4,0.386310160427807,"q99_prob"
"train","Naive inherited-label classifier",32,1.10082131225954,0.3125,0.288888888888889,0.289113355780022,"q90_prob"
