"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.878060269218314,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical EM-MMIL",12,0.912944841090812,0.75,0.6,0.816666666666667,"median_prob"
"test","Categorical EM-MMIL",12,0.959824190049413,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical EM-MMIL",12,0.973286489567644,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,0.881227929034642,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.911124625910884,0.75,0.6,0.816666666666667,"median_prob"
"test","Categorical MCEM-MMIL",12,0.959639643797761,0.75,0.6,0.829059829059829,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.974719849139816,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.760750070501722,0.75,0.6,0.816666666666667,"median_prob"
"test","Naive inherited-label classifier",12,0.7818399695685,0.75,0.6,0.816666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.876142158492521,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.94498169601153,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"train","Categorical EM-MMIL",32,0.567704364862677,0.8125,0.638888888888889,0.876157407407407,"median_prob"
"train","Categorical EM-MMIL",32,0.604566289419759,0.8125,0.638888888888889,0.877622377622378,"mean_prob"
"train","Categorical EM-MMIL",32,0.730292552845459,0.8125,0.638888888888889,0.877622377622378,"q90_prob"
"train","Categorical EM-MMIL",32,0.880263163078504,0.8125,0.638888888888889,0.877622377622378,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.576263748025024,0.8125,0.638888888888889,0.876157407407407,"median_prob"
"train","Categorical MCEM-MMIL",32,0.606922383864823,0.8125,0.638888888888889,0.877622377622378,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.73312755507279,0.8125,0.638888888888889,0.877622377622378,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.880504215974627,0.8125,0.638888888888889,0.877622377622378,"q99_prob"
"train","Naive inherited-label classifier",32,0.508325045100444,0.84375,0.666666666666667,0.912442396313364,"median_prob"
"train","Naive inherited-label classifier",32,0.572998800277465,0.875,0.772222222222222,0.796309523809524,"mean_prob"
"train","Naive inherited-label classifier",32,0.707432271331901,0.8125,0.638888888888889,0.877622377622378,"q90_prob"
"train","Naive inherited-label classifier",32,0.851867890899443,0.75,0.583333333333333,0.814496314496315,"q99_prob"
