"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.788038986613662,0.999999090261765
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.697413936318316,0.697413936318316
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.643448739109878,0.936264992070623
"test","Categorical EM-MMIL","I","NK cells","I",55,0.631448446625592,0.966369926361463
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.629520191169978,0.976377251797818
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.597587248417553,0.941598097354963
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.571707371040325,0.987315453463869
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.443650599300898,0.749216517810106
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.441686718110692,0.770732015224823
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.391060472904748,0.716647055039867
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.164099488172484,0.499530203042635
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.161019017478365,0.384103541698009
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.147466856960512,0.489705135413362
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.036243977710828,0.162822339096351
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0333666483531928,0.0723268685645819
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00436857101731189,0.00436857101731189
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.000857059333987508,0.000634683877606902
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.00047075620982088,0.00127982795592578
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.394213793716824,0.961359050870731
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.370009052620201,0.844218519731955
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.335184905021215,0.818546970478444
"test","Categorical EM-MMIL","I","B lymphocytes","IV",43,0.320307283179294,0.695748931012842
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.298217492664372,0.298217492664372
"test","Categorical EM-MMIL","I","T lymphocytes","IV",273,0.280825771999163,0.859100664151017
"test","Categorical EM-MMIL","I","Myeloid cells","IV",212,0.241393734104082,0.983542726123171
"test","Categorical EM-MMIL","I","Epithelial cells","IV",55,0.211103954052351,0.998294116604813
"test","Categorical EM-MMIL","I","Fibroblasts","IV",20,0.165288927794354,0.482008546986027
"test","Categorical EM-MMIL","II_III","Undetermined","I",2,0.757592531198081,0.906377781477423
"test","Categorical EM-MMIL","II_III","Endothelial cells","I",1,0.704764087088012,0.704764087088012
"test","Categorical EM-MMIL","II_III","B lymphocytes","I",35,0.543446074019588,0.90296871209131
"test","Categorical EM-MMIL","II_III","T lymphocytes","I",108,0.511259987417673,0.993734629685648
"test","Categorical EM-MMIL","II_III","Myeloid cells","I",54,0.453814513448448,0.963937837510855
"test","Categorical EM-MMIL","II_III","Epithelial cells","I",41,0.415982773359569,0.999999552530247
"test","Categorical EM-MMIL","II_III","NK cells","I",20,0.375551677326448,0.942417940303994
"test","Categorical EM-MMIL","II_III","Fibroblasts","I",3,0.283672144586979,0.418771299688689
"test","Categorical EM-MMIL","II_III","MAST cells","I",6,0.201471635179016,0.515657174455608
