"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","I","Epithelial cells","I",55,0.800035770419982,0.999999998079402
"test","Categorical EM-MMIL","I","Undetermined","I",1,0.669151611028584,0.669151611028584
"test","Categorical EM-MMIL","I","B lymphocytes","I",43,0.656363089236552,0.954509564803765
"test","Categorical EM-MMIL","I","Myeloid cells","I",212,0.620393091526115,0.921944892983952
"test","Categorical EM-MMIL","I","Endothelial cells","I",6,0.619941992785649,0.981319974771905
"test","Categorical EM-MMIL","I","NK cells","I",55,0.608213585676242,0.964341780564453
"test","Categorical EM-MMIL","I","T lymphocytes","I",273,0.582683989315427,0.986684179750315
"test","Categorical EM-MMIL","I","Fibroblasts","I",20,0.484252221424788,0.775573779241755
"test","Categorical EM-MMIL","I","MAST cells","I",21,0.435288617282634,0.809050881287358
"test","Categorical EM-MMIL","I","Fibroblasts","II_III",20,0.374787712565245,0.66381392284772
"test","Categorical EM-MMIL","I","MAST cells","II_III",21,0.155665908189597,0.485571650066261
"test","Categorical EM-MMIL","I","Myeloid cells","II_III",212,0.152972752932968,0.299265466577855
"test","Categorical EM-MMIL","I","T lymphocytes","II_III",273,0.138125544172177,0.494773961270569
"test","Categorical EM-MMIL","I","B lymphocytes","II_III",43,0.0369821317700493,0.122683251190505
"test","Categorical EM-MMIL","I","NK cells","II_III",55,0.0293634346458669,0.0656159513596198
"test","Categorical EM-MMIL","I","Undetermined","II_III",1,0.00609734602324517,0.00609734602324517
"test","Categorical EM-MMIL","I","Endothelial cells","II_III",6,0.000942299084847896,0.00248138016245624
"test","Categorical EM-MMIL","I","Epithelial cells","II_III",55,0.000788898772662942,4.7245215279626e-05
"test","Categorical EM-MMIL","I","MAST cells","IV",21,0.409045474527769,0.980023343354396
"test","Categorical EM-MMIL","I","Endothelial cells","IV",6,0.379115708129503,0.840887779887254
"test","Categorical EM-MMIL","I","NK cells","IV",55,0.362422979677891,0.857331590509706
"test","Categorical EM-MMIL","I","Undetermined","IV",1,0.324751042948171,0.324751042948171
