"Var1","Var2","Freq"
"mBrain","Activated DCs",3
"mLN","Activated DCs",33
"nLN","Activated DCs",122
"nLung","Activated DCs",66
"PE","Activated DCs",75
"tL/B","Activated DCs",3
"tLung","Activated DCs",154
"mBrain","Alveolar Mac",133
"mLN","Alveolar Mac",39
"nLN","Alveolar Mac",0
"nLung","Alveolar Mac",12211
"PE","Alveolar Mac",2
"tL/B","Alveolar Mac",52
"tLung","Alveolar Mac",1324
"mBrain","AT1",0
"mLN","AT1",0
"nLN","AT1",0
"nLung","AT1",530
"PE","AT1",0
"tL/B","AT1",0
"tLung","AT1",0
"mBrain","AT2",0
"mLN","AT2",0
"nLN","AT2",0
"nLung","AT2",2020
"PE","AT2",0
"tL/B","AT2",0
"tLung","AT2",0
"mBrain","CD141+ DCs",16
"mLN","CD141+ DCs",18
"nLN","CD141+ DCs",27
"nLung","CD141+ DCs",101
"PE","CD141+ DCs",42
"tL/B","CD141+ DCs",4
"tLung","CD141+ DCs",95
"mBrain","CD163+CD14+ DCs",177
"mLN","CD163+CD14+ DCs",133
"nLN","CD163+CD14+ DCs",8
"nLung","CD163+CD14+ DCs",143
"PE","CD163+CD14+ DCs",5
"tL/B","CD163+CD14+ DCs",71
"tLung","CD163+CD14+ DCs",660
"mBrain","CD1c+ DCs",37
"mLN","CD1c+ DCs",75
"nLN","CD1c+ DCs",181
"nLung","CD1c+ DCs",880
"PE","CD1c+ DCs",49
"tL/B","CD1c+ DCs",32
"tLung","CD1c+ DCs",528
"mBrain","CD207+CD1a+ LCs",15
"mLN","CD207+CD1a+ LCs",68
"nLN","CD207+CD1a+ LCs",0
"nLung","CD207+CD1a+ LCs",6
"PE","CD207+CD1a+ LCs",0
"tL/B","CD207+CD1a+ LCs",1
"tLung","CD207+CD1a+ LCs",87
"mBrain","CD4+ Th",340
"mLN","CD4+ Th",491
"nLN","CD4+ Th",1159
"nLung","CD4+ Th",3101
"PE","CD4+ Th",30
"tL/B","CD4+ Th",252
"tLung","CD4+ Th",3572
"mBrain","CD8 low T",146
"mLN","CD8 low T",361
"nLN","CD8 low T",921
"nLung","CD8 low T",680
"PE","CD8 low T",1691
"tL/B","CD8 low T",342
"tLung","CD8 low T",785
"mBrain","CD8+/CD4+ Mixed Th",38
"mLN","CD8+/CD4+ Mixed Th",1
"nLN","CD8+/CD4+ Mixed Th",52
"nLung","CD8+/CD4+ Mixed Th",7
"PE","CD8+/CD4+ Mixed Th",0
"tL/B","CD8+/CD4+ Mixed Th",6
"tLung","CD8+/CD4+ Mixed Th",2464
"mBrain","Ciliated",0
"mLN","Ciliated",0
"nLN","Ciliated",0
"nLung","Ciliated",654
"PE","Ciliated",0
"tL/B","Ciliated",0
"tLung","Ciliated",0
"mBrain","Club",0
