"Var1","Var2","Freq"
"mBrain","B lymphocytes",1311
"mLN","B lymphocytes",6062
"nLN","B lymphocytes",10584
"nLung","B lymphocytes",634
"PE","B lymphocytes",3285
"tL/B","B lymphocytes",469
"tLung","B lymphocytes",5312
"mBrain","Endothelial cells",0
"mLN","Endothelial cells",0
"nLN","Endothelial cells",0
"nLung","Endothelial cells",1341
"PE","Endothelial cells",0
"tL/B","Endothelial cells",0
"tLung","Endothelial cells",655
"mBrain","Epithelial cells",15463
"mLN","Epithelial cells",3053
"nLN","Epithelial cells",0
"nLung","Epithelial cells",3703
"PE","Epithelial cells",396
"tL/B","Epithelial cells",6582
"tLung","Epithelial cells",7270
"mBrain","Fibroblasts",636
"mLN","Fibroblasts",37
"nLN","Fibroblasts",0
"nLung","Fibroblasts",1670
"PE","Fibroblasts",0
"tL/B","Fibroblasts",111
"tLung","Fibroblasts",1718
"mBrain","MAST cells",508
"mLN","MAST cells",0
"nLN","MAST cells",0
"nLung","MAST cells",1079
"PE","MAST cells",0
"tL/B","MAST cells",0
"tLung","MAST cells",1809
"mBrain","Myeloid cells",5657
"mLN","Myeloid cells",5442
"nLN","Myeloid cells",1288
"nLung","Myeloid cells",16672
"PE","Myeloid cells",3063
"tL/B","Myeloid cells",1329
"tLung","Myeloid cells",8794
"mBrain","NK cells",859
"mLN","NK cells",984
"nLN","NK cells",0
"nLung","NK cells",6824
"PE","NK cells",1297
"tL/B","NK cells",583
"tLung","NK cells",1004
"mBrain","Oligodendrocytes",716
"mLN","Oligodendrocytes",0
"nLN","Oligodendrocytes",0
"nLung","Oligodendrocytes",0
"PE","Oligodendrocytes",0
"tL/B","Oligodendrocytes",0
"tLung","Oligodendrocytes",0
"mBrain","T lymphocytes",3910
"mLN","T lymphocytes",5882
"nLN","T lymphocytes",25319
"nLung","T lymphocytes",11072
"PE","T lymphocytes",11974
"tL/B","T lymphocytes",2932
"tLung","T lymphocytes",18587
"mBrain","Undetermined",0
"mLN","Undetermined",19
"nLN","Undetermined",255
"nLung","Undetermined",0
"PE","Undetermined",289
"tL/B","Undetermined",67
"tLung","Undetermined",0
