"split","Stage_cat","Cell_type","n_cells","mean_naive_prob_I","mean_naive_prob_II_III","mean_naive_prob_IV","mean_cat_mcem_prob_I","mean_cat_mcem_prob_II_III","mean_cat_mcem_prob_IV"
"test","I","NK cells",86,0.286843251311395,0.146738645773295,0.56641810291531,0.281689989996729,0.01448666215237,0.703823347850901
"test","I","Epithelial cells",94,0.253714498495414,0.116185970911862,0.630099530592724,0.257570483374048,0.0584973119089335,0.683932204717018
"test","I","Endothelial cells",26,0.473350648027213,0.0784223008705369,0.44822705110225,0.46828667485201,0.00540379361625722,0.526309531531733
"test","I","T lymphocytes",347,0.434118120975209,0.13030380328302,0.435578075741772,0.484204122352575,0.0160249321312402,0.499770945516185
"test","I","MAST cells",25,0.490781902002087,0.14913372904208,0.360084368955833,0.492756271382054,0.0128279562941092,0.494415772323837
"test","I","B lymphocytes",64,0.489159353911795,0.095745651984445,0.41509499410376,0.516162185045472,0.0139363328892891,0.469901482065239
"test","I","Myeloid cells",198,0.486164767868229,0.235873969980465,0.277961262151306,0.590149977845495,0.0337238646207298,0.376126157533775
"test","I","Fibroblasts",13,0.716312225444953,0.0887929900066429,0.194894784548404,0.759950685546579,0.0175670131545887,0.222482301298832
"test","II_III","Undetermined",2,0.297848053757568,0.0944030266241059,0.607748919618326,0.230611966136786,0.0109897972377341,0.75839823662548
"test","II_III","NK cells",19,0.338229267635779,0.162329292334348,0.499441440029872,0.3632274136255,0.0162746125793295,0.620497973795171
"test","II_III","B lymphocytes",28,0.452582251812877,0.118845500935405,0.428572247251718,0.480051199917629,0.0148023286578763,0.505146471424494
"test","II_III","Myeloid cells",54,0.45234812868827,0.182793925697501,0.364857945614229,0.518869522633293,0.0249548324658181,0.456175644900889
"test","II_III","T lymphocytes",137,0.470767911996239,0.158913470811039,0.370318617192722,0.548550566770278,0.0171448592371432,0.434304573992579
"test","II_III","MAST cells",7,0.536345243934128,0.167934887880946,0.295719868184926,0.589103619694632,0.0147841259955289,0.396112254309839
"test","II_III","Epithelial cells",16,0.532498530693364,0.116737362943888,0.350764106362749,0.607041249907596,0.0629497863820258,0.330008963710378
"test","II_III","Endothelial cells",2,0.634321612515206,0.0584040591175835,0.307274328367211,0.717065199376589,0.00459449822232,0.278340302401091
"test","II_III","Fibroblasts",31,0.862007872450257,0.035757420076977,0.102234707472766,0.90227379082945,0.00795905580779358,0.0897671533627569
"test","IV","Epithelial cells",377,0.165023451597024,0.182920273294025,0.652056275108951,0.0720276704428729,0.00562009743053751,0.92235223212659
"test","IV","Myeloid cells",241,0.119851995634977,0.0833689347813368,0.796779069583686,0.0808661231264479,0.00694384318835014,0.912190033685202
"test","IV","Undetermined",4,0.177352244280833,0.0862128609470156,0.736434894772152,0.0978641401263888,0.00919708545552972,0.892938774418081
"test","IV","Fibroblasts",1,0.275594246735776,0.268863822583507,0.455541930680717,0.114448055236174,0.0106443351569767,0.874907609606849
"test","IV","NK cells",32,0.213858270002797,0.126833117114301,0.659308612882902,0.177748654408874,0.0113081389351655,0.810943206655961
"test","IV","Oligodendrocytes",2,0.112361503918179,0.463183123509507,0.424455372572314,0.0740923755278862,0.183727878121483,0.74217974635063
"test","IV","T lymphocytes",337,0.302375806139233,0.106105429433842,0.591518764426926,0.281999032710103,0.0129170931897262,0.705083874100171
"test","IV","B lymphocytes",184,0.36018478461326,0.0779945818131726,0.561820633573567,0.328733765795113,0.0110600352452154,0.660206198959672
"train","I","Undetermined",7,0.261108692340342,0.0868423544624262,0.652048953197232,0.191265029114545,0.0104933264890502,0.798241644396405
"train","I","NK cells",53,0.319007710577373,0.151021277058794,0.529971012363833,0.327074893386102,0.0155937368207566,0.657331369793141
"train","I","Epithelial cells",90,0.337842733632952,0.112230367275663,0.549926899091385,0.372665359671535,0.0540934350668675,0.573241205261597
"train","I","T lymphocytes",663,0.438061052144175,0.124451011921227,0.437487935934598,0.4856666786822,0.0156952961089903,0.49863802520881
"train","I","B lymphocytes",277,0.490771817560016,0.10120066300729,0.408027519432694,0.522068226045897,0.0139978714053594,0.463933902548744
"train","I","Endothelial cells",12,0.525505831150348,0.0871044401614037,0.387389728688249,0.555298396280205,0.00712733328564278,0.437574270434152
"train","I","Myeloid cells",241,0.472540609510088,0.193500475050219,0.333958915439693,0.558151071879356,0.0277295787167596,0.414119349403885
"train","I","MAST cells",29,0.544854208727986,0.145461496775689,0.309684294496325,0.598924191320392,0.0139336318735517,0.387142176806056
"train","I","Fibroblasts",31,0.779518893570818,0.0547837629496895,0.165697343479492,0.810635223729806,0.0113776249980851,0.177987151272109
"train","II_III","Undetermined",1,0.20793078356189,0.0967523198630341,0.695316896575076,0.124575379006242,0.00956224292318197,0.865862378070576
"train","II_III","NK cells",32,0.224114978476216,0.140999428774791,0.634885592748993,0.201699513460793,0.0125819591950805,0.785718527344127
"train","II_III","Epithelial cells",64,0.214451339172879,0.156221713186869,0.629326947640253,0.230386512329854,0.0802968905614916,0.689316597108655
"train","II_III","B lymphocytes",69,0.385386915906888,0.141440215208713,0.473172868884399,0.403754251681925,0.0155062175583794,0.580739530759696
